path	date	wc	source_type	rollup_p_f_b_s	n_explicit	n_suffix	n_inline	tc_refs
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/itemcreate-scroll-investigation-2026-08-17/report.md	2026-08-17	0	manual		0	0	0	
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase14-auth-pw-recovery-2026-08-16/report.md	2026-08-16	0	manual	3/0/5/0	8	0	8	AUTH-TC-S01,AUTH-TC-S02,AUTH-TC-S03,AUTH-TC-S04,AUTH-TC-S05,AUTH-TC-S07,AUTH-TC-S08,AUTH-TC-S10,TC-S01,TC-S02,TC-S03,TC-S04,TC-S05,TC-S07,TC-S08,TC-S10
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase15-auth-group-s-reverify-2026-08-16/report.md	2026-08-16	0	manual	4/0/1/0	5	0	5	AUTH-TC-S07,AUTH-TC-S08,AUTH-TC-S09,AUTH-TC-S10,AUTH-TC-S11,TC-S07,TC-S08,TC-S09,TC-S10,TC-S11
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase16-auth-group-s-closeout-2026-08-16/report.md	2026-08-16	0	manual	2/0/0/0	2	1	2	AUTH-TC-S08,AUTH-TC-S11,TC-S08,TC-S11
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase17-auth-groups-ab-2026-08-16/report.md	2026-08-16	0	manual	15/0/2/0	17	2	17	AUTH-TC-A01,AUTH-TC-A02,AUTH-TC-A03,AUTH-TC-A04,AUTH-TC-A05,AUTH-TC-A06,AUTH-TC-A07,AUTH-TC-A08,AUTH-TC-B01,AUTH-TC-B02,AUTH-TC-B03,AUTH-TC-B04,AUTH-TC-B05,AUTH-TC-B06,AUTH-TC-B07,AUTH-TC-B08,AUTH-TC-B09,AUTH-TC-B10,TC-A01,TC-A02,TC-A03,TC-A04,TC-A05,TC-A06,TC-A07,TC-A08,TC-B01,TC-B02,TC-B03,TC-B04,TC-B05,TC-B06,TC-B07,TC-B08,TC-B09,TC-B10
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase18-auth-group-c-social-login-2026-08-16/report.md	2026-08-16	0	manual	0/3/4/0	7	0	7	AUTH-TC-C01,AUTH-TC-C02,AUTH-TC-C03,AUTH-TC-C04,AUTH-TC-C05,AUTH-TC-C06,AUTH-TC-C07,TC-C01,TC-C02,TC-C03,TC-C04,TC-C05,TC-C06,TC-C07
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase19-auth-group-c-closeout-2026-08-16/report.md	2026-08-16	0	manual	1/0/6/0	7	10	8	AUTH-TC-C01,AUTH-TC-C02,AUTH-TC-C03,AUTH-TC-C04,AUTH-TC-C05,AUTH-TC-C06,AUTH-TC-C07,TC-C01,TC-C02,TC-C03,TC-C04,TC-C05,TC-C06,TC-C07
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase20-auth-group-c-closure-2026-08-16/report.md	2026-08-16	0	manual	1/1/1/0	3	0	3	AUTH-TC-C01,AUTH-TC-C02,AUTH-TC-C04,TC-C01,TC-C02,TC-C04
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase21-auth-group-c01-google-2026-08-16/report.md	2026-08-16	1238	manual	1/0/0/0	0	0	1	AUTH-TC-C01,TC-C01
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase22-auth-group-b-d-e-2026-08-17/report.md	2026-08-17	0	manual	8/0/2/1	11	0	14	AUTH-TC-B10,AUTH-TC-B11,AUTH-TC-B12,AUTH-TC-D01,AUTH-TC-D02,AUTH-TC-D03,AUTH-TC-E01,AUTH-TC-E02,AUTH-TC-E03,AUTH-TC-E04,AUTH-TC-E05,TC-B10,TC-B11,TC-B12,TC-D01,TC-D02,TC-D03,TC-E01,TC-E02,TC-E03,TC-E04,TC-E05
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase23-auth-group-f-h-i-e05-2026-08-17/report.md	2026-08-17	0	manual	9/1/7/0	0	18	0	AUTH-TC-E05,TC-E05
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase23-wrapup-f06-reverify-f07-h03-2026-08-18/report.md	2026-08-18	0	manual		3	0	3	AUTH-TC-F06,AUTH-TC-F07,AUTH-TC-H03,AUTH-TC-S03,TC-F06,TC-F07,TC-H03,TC-S03
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase24-f06-reverify-discover-audit-2026-08-17/report.md	2026-08-17	0	manual		0	1	0	AUTH-TC-F06,TC-F06
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase25-auth-group-k-bulk-2026-08-19/report.md	2026-08-19	0	manual		6	0	6	AUTH-TC-K01,AUTH-TC-K02,AUTH-TC-K03,AUTH-TC-K04,AUTH-TC-K05,AUTH-TC-K06,TC-K01,TC-K02,TC-K03,TC-K04,TC-K05,TC-K06
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase26-bulk-four-fixes-verify-2026-08-20/report.md	2026-08-20	0	manual		0	1	0	AUTH-TC-K01,TC-K01
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/phase27-groupk-ax-reverify-2026-08-20/report.md	2026-08-20	0	manual	4/0/0/0	0	3	0	AUTH-TC-K01,TC-K01
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/qa-combined-verify-e05-c04-f06-2026-08-18/report.md	2026-08-18	0	manual	1/1/1/0	2	1	0	AUTH-TC-C04,AUTH-TC-E05,AUTH-TC-F06,AUTH-TC-H06,TC-C04,TC-E05,TC-F06,TC-H06
