path	date	wc	source_type	tc_id	verdict
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M08	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M09	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M10	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M11	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M12	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M14	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M15	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated	TC-M13	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/report.md	2026-05-31	0	automated	TC-A01	FAIL
