path	date	source_type	tc_id	verdict
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-G04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-H01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-H02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-H03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-H04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-I01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-I02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-I03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-I04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-I05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-J01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-J02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-J03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-J04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-J05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-K01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-K02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-K03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-L08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M09	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M10	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M11	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M12	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M13	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M14	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-M15	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O05	FAIL
